S0212-71992005001200010-1	264310000
S0212-71992005001200010-1	<null>
S0212-71992005001200010-1	79005005
S0212-71992005001200010-1	<null>
S0212-71992005001200010-1	259319003
S0212-71992005001200010-1	259319003
S0212-71992005001200010-1	38082009
S0212-71992005001200010-1	90945000
S0212-71992005001200010-1	90945000
S0212-71992005001200010-1	<null>
S0212-71992005001200010-1	707736000
S0212-71992005001200010-1	<null>
S0212-71992005001200010-1	54237000
S0212-71992005001200010-1	24655002
S0212-71992005001200010-1	82753007
S0212-71992005001200010-1	42891003
S0212-71992005001200010-1	130636000
S0212-71992005001200010-1	44706009
S0212-71992005001200010-1	19677004
