S0004-06142008000700014-1	115476009
S0004-06142008000700014-1	712718002
S0004-06142008000700014-1	259981004
S0004-06142008000700014-1	102695006
S0004-06142008000700014-1	59433001
S0004-06142008000700014-1	49944008
S0004-06142008000700014-1	259301007
S0004-06142008000700014-1	16683002
S0004-06142008000700014-1	103092003
S0004-06142008000700014-1	75925000
S0004-06142008000700014-1	<null>
S0004-06142008000700014-1	<null>
S0004-06142008000700014-1	102665003
S0004-06142008000700014-1	414498008
S0004-06142008000700014-1	259319003
